Stockfish;Rybka;N. Mosse
1;0;57
0.5;0.5;238
1;0;159
1;0;243
0.5;0.5;416
1;0;163
0;1;112
0;1;114
1;0;99
1;0;153
1;0;59
1;0;205
0.5;0.5;76
1;0;177
1;0;299
1;0;65
0;1;108
1;0;155
0;1;92
1;0;99
0;1;154
1;0;221
0.5;0.5;156
1;0;173
1;0;151
1;0;93
0;1;272
1;0;125
0.5;0.5;188
1;0;71
1;0;61
1;0;83
1;0;185
1;0;101
0;1;76
0;1;140
1;0;125
1;0;91
1;0;355
0;1;294
1;0;409
1;0;115
0;1;146
1;0;107
1;0;59
1;0;83
1;0;237
1;0;155
1;0;115
0;1;174
1;0;241
1;0;123
1;0;165
1;0;113
1;0;167
1;0;151
1;0;187
1;0;49
1;0;123
1;0;115
1;0;73
1;0;263
1;0;43
0;1;166
1;0;139
1;0;121
1;0;105
1;0;161
1;0;131
0;1;74
0.5;0.5;64
1;0;105
0.5;0.5;106
1;0;155
0;1;294
1;0;145
0.5;0.5;116
1;0;273
1;0;33
1;0;83
1;0;339
0;1;84
0;1;118
1;0;169
0.5;0.5;115
1;0;103
1;0;73
0.5;0.5;241
0;1;94
0.5;0.5;68
1;0;159
1;0;171
1;0;215
0.5;0.5;160
1;0;255
0.5;0.5;199
1;0;275
0;1;120
0;1;136
1;0;129
;;
VB: 68;VN: 19;Draws: 13
